Breed,Average Lifespan (Years)
Affenpinscher,13
Afghan Hound,13
African Boerboels,10
Airedale Terrier,11
Akbash,10
Akita,11
Alapaha Blue Blood Bulldogs,13
Alaskan Klee Kai,14
Alaskan Malamute,11
American Bulldog,13
American Eskimo Dog,13
American Foxhound,11
American Staffordshire Terrier,13
American Water Spaniel,11
Anatolian Shepherd Dog,11
Australian Cattle Dog,11
Australian Kelpie,12
Australian Shepherd,13
Australian Silky Terrier,12
Australian Terrier,13
Basenji,13
Basset Hound,12
Beagle,13
Bearded Collie,13
Beauceron,11
Bedlington Terrier,13
Belgian Malinois,11
Belgian Shepherd Dog,11
Belgian Tervuren,11
Bernese Mountain Dog,7
Bichon Frise,13
Black and Tan Coonhound,11
Black Russian Terrier,10
Bloodhound,11
Border Collie,12
Border Terrier,13
Borzoi,11
Boston Terrier,14
Bouvier des Flandres,11
Boxer,9
Briard,11
Brittany,12
Brussels Griffon,13
Bull Terrier,12
Bullmastiff,9
Cairn Terrier,13
Canaan Dog,12
Cane Corso,11
Cardigan Welsh Corgi,13
Carolina Dog,13
Catahoula Leopard Dogs,12
Cavalier King Charles Spaniel,11
Central Asian Ovtcharkas,12
Cesky Terrier,14
Chesapeake Bay Retriever,11
Chihuahua,16
Chinese Crested,14
Chinese Foo,11
Chinese Shar-Pei,9
Chipoo,14
Chow Chow,10
Clumber Spaniel,11
Cocker Spaniel,13
Cockapoo,16
Collie,10
Coton De Tulears,15
Curly-Coated Retriever,10
Dachshund,13
Dalmatian,13
Dandie Dinmont Terrier,12
Doberman Pinscher,11
Dogue de Bordeaux,6
English Bulldogs,10
English Cocker Spaniels,13
English Foxhound,11
English Setter,11
English Shepherd,15
English Springer Spaniel,12
English Toy Spaniel,11
Estrela Mountain Dogs,11
Field Spaniel,13
Fila Brasileiros,10
Finnish Spitz,13
Flat-Coated Retriever,11
Fox Terrier (Smooth),11
Fox Terrier (Wire),11
French Bulldog,10
German Pinscher,13
German Shepherd,11
German Shorthaired Pointer,13
German Wirehaired Pointer,13
Giant Schnauzer,11
Glen of Imaal Terrier,12
Golden Retriever,11
Goldendoodle,14
Gordon Setter,11
Great Dane,8
Great Pyrenees,11
Greater Swiss Mountain Dog,11
Greyhound,11
Harrier,13
Havanese,13
Hungarian Vizsla,12
Ibizan Hound,13
Irish Setter,13
Irish Terrier,13
Irish Water Spaniel,11
Irish Wolfhound,6
Italian Greyhound,13
Jack Russell Terrier,13
Japanese Chin,13
Keeshond,13
Kerry Blue Terrier,13
Komondor,11
Kooikerhondje,13
Kuvasz,10
Labradoodle,13
Labrador Retriever,11
Laekenois,12
Lakeland Terrier,14
Lancashire Heeler,14
Lhasa Apso,13
Löwchen,14
Maltese,13
Maltipoo,13
Manchester Terrier,15
Maremma Sheepdog,12
Mastiff,10
Miniature Bull Terrier,12
Miniature Pinscher,13
Miniature Poodle,13
Miniature Schnauzer,13
Neapolitan Mastiff,9
Newfoundland,9
Norfolk Terrier,14
Norwegian Buhunds,12
Norwegian Elkhound,11
Norwich Terrier,14
Nova Scotia Duck Tolling Retriever,12
Old English Sheepdog,11
Otterhound,11
Papillon,13
Parson Russell Terrier,14
Peekapoo,13
Pekingese,13
Pembroke Welsh Corgi,12
Petit Basset Griffon Vendeen,12
Pharaoh Hound,12
Pit Bull,13
Plott,12
Pointer,13
Polish Lowland Sheepdog,12
Pomapoo,13
Pomeranian,14
Poodle (Standard),13
Portuguese Water Dog,12
Pug,13
Puli,12
Rat Terrier,16
Redbone Coonhound,11
Rhodesian Ridgeback,11
Rottweiler,9
Saint Bernard,9
Saluki,13
Samoyed,11
Schipperke,14
Schnoodle,13
Scottish Deerhound,8
Scottish Terrier,12
Sealyham Terrier,12
Shetland Sheepdog,13
Shiba Inu,13
Shih Tzu,12
Siberian Husky,12
Silky Terrier,12
Skye Terrier,13
Snorkie,12
Soft-coated Wheaten Terrier,13
Spinone Italiano,13
Staffordshire Bull Terrier,13
Standard Schnauzer,13
Sussex Spaniel,12
Swedish Vallhund,13
Thai Ridgeback,12
Tibetan Mastiff,12
Tibetan Spaniel,14
Tibetan Terrier,13
Toy Fox Terrier,13
Toy Manchester Terrier,15
Toy Poodle,13
Treeing Walker Coonhound,12
Vizsla,12
Weimaraner,11
Welsh Springer Spaniel,13
Welsh Terrier,13
West Highland White Terrier,13
Whippet,13
Wirehaired Pointing Griffon,13
Xoloitzcuintle,13
Yorkie-Poo,14
Yorkshire Terrier,15
